path,color_l,color_a,color_b,weight
dataset_v0.1/91SUvrBY4FL._AC_SX679_.png,149,107,143,0.046586391003067135
dataset_v0.1/61ZcpCKiVmL._AC_SX679_.png,150,117,126,0.3177209141388344
dataset_v0.1/61ZcpCKiVmL._AC_SX679_.png,135,117,126,0.26911733205911914
dataset_v0.1/61ZcpCKiVmL._AC_SX679_.png,125,122,127,0.18412614720469261
dataset_v0.1/61ZcpCKiVmL._AC_SX679_.png,189,129,129,0.12877032838476873
dataset_v0.1/61ZcpCKiVmL._AC_SX679_.png,89,155,131,0.035253991530869486
dataset_v0.1/61ZcpCKiVmL._AC_SX679_.png,99,141,127,0.030083537921602874
dataset_v0.1/61ZcpCKiVmL._AC_SX679_.png,111,169,134,0.02234598210607833
dataset_v0.1/61ZcpCKiVmL._AC_SX679_.png,176,127,151,0.012581766654034371
dataset_v0.1/81cGJJANMGL._AC_SX679_.png,89,108,130,0.2831643966352209
dataset_v0.1/81cGJJANMGL._AC_SX679_.png,20,133,111,0.25941864961807415
dataset_v0.1/81cGJJANMGL._AC_SX679_.png,106,126,128,0.19987156790048996
dataset_v0.1/81cGJJANMGL._AC_SX679_.png,155,155,136,0.10642834588680236
dataset_v0.1/81cGJJANMGL._AC_SX679_.png,151,180,146,0.06269757078843827
dataset_v0.1/81cGJJANMGL._AC_SX679_.png,107,193,174,0.056879099981905976
dataset_v0.1/81cGJJANMGL._AC_SX679_.png,104,128,154,0.022727514626003597
dataset_v0.1/81cGJJANMGL._AC_SX679_.png,199,124,183,0.008812854563064774
dataset_v0.1/71fDzW7DRoL._AC_SY879_.png,221,129,130,0.1860962057647283
dataset_v0.1/71fDzW7DRoL._AC_SY879_.png,216,128,131,0.16545587955235416
dataset_v0.1/71fDzW7DRoL._AC_SY879_.png,154,126,145,0.14544288482866008
dataset_v0.1/71fDzW7DRoL._AC_SY879_.png,187,128,139,0.12810725127986827
dataset_v0.1/71fDzW7DRoL._AC_SY879_.png,135,127,142,0.10119361018069388
dataset_v0.1/71fDzW7DRoL._AC_SY879_.png,203,128,134,0.09693391734907636
dataset_v0.1/71fDzW7DRoL._AC_SY879_.png,123,130,128,0.09031052908689662
dataset_v0.1/71fDzW7DRoL._AC_SY879_.png,193,129,139,0.08645972195772234
dataset_v0.1/814o8kkzwLL._AC_SX679_.png,107,167,154,0.24906532608728452
dataset_v0.1/814o8kkzwLL._AC_SX679_.png,93,168,157,0.23111415544404176
dataset_v0.1/814o8kkzwLL._AC_SX679_.png,122,164,151,0.15492201243817874
dataset_v0.1/814o8kkzwLL._AC_SX679_.png,99,169,161,0.14388094110121033
dataset_v0.1/814o8kkzwLL._AC_SX679_.png,140,164,157,0.10335879106454757
dataset_v0.1/814o8kkzwLL._AC_SX679_.png,91,160,148,0.06497303854266308
dataset_v0.1/814o8kkzwLL._AC_SX679_.png,79,153,142,0.032857673076865046
dataset_v0.1/814o8kkzwLL._AC_SX679_.png,116,130,131,0.019828062245208947
dataset_v0.1/51jzzFKWNhL._AC_SX679_.png,187,140,172,0.17397603517403246
dataset_v0.1/51jzzFKWNhL._AC_SX679_.png,190,139,171,0.16743351873005027
dataset_v0.1/51jzzFKWNhL._AC_SX679_.png,194,139,171,0.16737404130783226
dataset_v0.1/51jzzFKWNhL._AC_SX679_.png,197,138,170,0.16432696721573986
dataset_v0.1/51jzzFKWNhL._AC_SX679_.png,209,137,165,0.12020539536472623
dataset_v0.1/51jzzFKWNhL._AC_SX679_.png,196,139,169,0.10378352658412014
dataset_v0.1/51jzzFKWNhL._AC_SX679_.png,209,136,164,0.08948606932017307
dataset_v0.1/51jzzFKWNhL._AC_SX679_.png,194,130,143,0.013414446303325703
dataset_v0.1/81YT5DnDZAL._AC_SX679_.png,107,167,158,0.24014517375349
dataset_v0.1/81YT5DnDZAL._AC_SX679_.png,95,163,152,0.19593071938010376
dataset_v0.1/81YT5DnDZAL._AC_SX679_.png,69,165,156,0.16840101557010045
dataset_v0.1/81YT5DnDZAL._AC_SX679_.png,105,161,149,0.1604423060872281
dataset_v0.1/81YT5DnDZAL._AC_SX679_.png,108,165,155,0.13793929733964788
dataset_v0.1/81YT5DnDZAL._AC_SX679_.png,59,156,145,0.07134568423093181
dataset_v0.1/81YT5DnDZAL._AC_SX679_.png,96,131,131,0.015010083006432123
dataset_v0.1/81YT5DnDZAL._AC_SX679_.png,120,143,138,0.010785720632065844
dataset_v0.1/71RlIMc7H6L._AC_SX679_.png,180,123,119,0.18258368089624147
dataset_v0.1/71RlIMc7H6L._AC_SX679_.png,165,123,119,0.17881997709578154
dataset_v0.1/71RlIMc7H6L._AC_SX679_.png,207,124,120,0.17468567453530864
dataset_v0.1/71RlIMc7H6L._AC_SX679_.png,168,123,119,0.1410705443852769
dataset_v0.1/71RlIMc7H6L._AC_SX679_.png,184,123,119,0.13498907948735864
dataset_v0.1/71RlIMc7H6L._AC_SX679_.png,130,123,118,0.10110055680944845
dataset_v0.1/71RlIMc7H6L._AC_SX679_.png,135,124,117,0.07117318809102148
dataset_v0.1/71RlIMc7H6L._AC_SX679_.png,152,126,125,0.015577298699562876
dataset_v0.1/6150p0M5DGL._AC_SX679_.png,233,128,128,0.38308457711442784
dataset_v0.1/6150p0M5DGL._AC_SX679_.png,87,188,129,0.2478446529567148
dataset_v0.1/6150p0M5DGL._AC_SX679_.png,101,193,128,0.18570421508094706
dataset_v0.1/6150p0M5DGL._AC_SX679_.png,47,128,128,0.08074853744307776
dataset_v0.1/6150p0M5DGL._AC_SX679_.png,90,178,125,0.03268672922034777
dataset_v0.1/6150p0M5DGL._AC_SX679_.png,123,203,129,0.027885815223556484
dataset_v0.1/6150p0M5DGL._AC_SX679_.png,195,141,124,0.02359942956228629
dataset_v0.1/6150p0M5DGL._AC_SX679_.png,166,160,121,0.01844604339864197
dataset_v0.1/717dsyfCPoL._AC_SX679_.png,223,127,134,0.30165931973202026
dataset_v0.1/717dsyfCPoL._AC_SX679_.png,105,129,112,0.16175648642018398
dataset_v0.1/717dsyfCPoL._AC_SX679_.png,210,128,133,0.13347142029777215
dataset_v0.1/717dsyfCPoL._AC_SX679_.png,183,128,125,0.10795315159470212
dataset_v0.1/717dsyfCPoL._AC_SX679_.png,191,123,142,0.08877777862079954
dataset_v0.1/717dsyfCPoL._AC_SX679_.png,172,128,116,0.08031552618467741
dataset_v0.1/717dsyfCPoL._AC_SX679_.png,180,128,117,0.07813294284565367
dataset_v0.1/717dsyfCPoL._AC_SX679_.png,132,121,153,0.047933374304190916
dataset_v0.1/71QoeO3B7rL._AC_SX679_.png,83,143,130,0.2007648136835675
dataset_v0.1/71QoeO3B7rL._AC_SX679_.png,84,159,120,0.17679169211973123
dataset_v0.1/71QoeO3B7rL._AC_SX679_.png,80,130,128,0.13184850335980453
dataset_v0.1/71QoeO3B7rL._AC_SX679_.png,87,164,135,0.13022357971899817
dataset_v0.1/71QoeO3B7rL._AC_SX679_.png,94,139,108,0.12162736713500305
dataset_v0.1/71QoeO3B7rL._AC_SX679_.png,162,135,162,0.1146756261453879
dataset_v0.1/71QoeO3B7rL._AC_SX679_.png,109,167,153,0.07414538790470372
dataset_v0.1/71QoeO3B7rL._AC_SX679_.png,111,114,141,0.04992302993280391
dataset_v0.1/610yxYG6OSL._AC_SX679_.png,68,161,96,0.23739426532983812
dataset_v0.1/610yxYG6OSL._AC_SX679_.png,68,162,95,0.22187930708320946
dataset_v0.1/610yxYG6OSL._AC_SX679_.png,74,162,95,0.20612653028132855
dataset_v0.1/610yxYG6OSL._AC_SX679_.png,100,167,90,0.15187146988082048
dataset_v0.1/610yxYG6OSL._AC_SX679_.png,68,160,97,0.10982623030565089
dataset_v0.1/610yxYG6OSL._AC_SX679_.png,48,156,103,0.04758262843553225
dataset_v0.1/610yxYG6OSL._AC_SX679_.png,112,130,126,0.01575277680188093
dataset_v0.1/610yxYG6OSL._AC_SX679_.png,127,143,114,0.009566791881739319
dataset_v0.1/61IbXLH5P6L._AC_SX679_.png,101,171,77,0.3936603470759354
dataset_v0.1/61IbXLH5P6L._AC_SX679_.png,186,170,120,0.1548119169425218
dataset_v0.1/61IbXLH5P6L._AC_SX679_.png,189,170,120,0.14142642190791455
dataset_v0.1/61IbXLH5P6L._AC_SX679_.png,193,165,119,0.12976627545390712
dataset_v0.1/61IbXLH5P6L._AC_SX679_.png,104,174,73,0.08548500351088374
dataset_v0.1/61IbXLH5P6L._AC_SX679_.png,207,157,122,0.03319490420302939
dataset_v0.1/61IbXLH5P6L._AC_SX679_.png,135,163,98,0.031569866586417895
dataset_v0.1/61IbXLH5P6L._AC_SX679_.png,214,145,124,0.03008526431939011
dataset_v0.1/71YOgxmL-kL._AC_SX679_.png,163,115,109,0.2134394489956688
dataset_v0.1/71YOgxmL-kL._AC_SX679_.png,167,115,109,0.2113252314274238
dataset_v0.1/71YOgxmL-kL._AC_SX679_.png,220,125,124,0.14098312673784635
dataset_v0.1/71YOgxmL-kL._AC_SX679_.png,176,123,117,0.1393671047674205
dataset_v0.1/71YOgxmL-kL._AC_SX679_.png,197,119,122,0.1226993482978836
dataset_v0.1/71YOgxmL-kL._AC_SX679_.png,155,118,115,0.08106576493263462
dataset_v0.1/71YOgxmL-kL._AC_SX679_.png,161,125,108,0.0461920730852942
dataset_v0.1/71YOgxmL-kL._AC_SX679_.png,120,125,124,0.04492790175582811
dataset_v0.1/61hSyPTtrNL._AC_SX679_.png,213,127,139,0.4203486299470748
